,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
0,lzw-txt-small-low-1,3.353052821816469,5.0,6535.443359375,20.53847,0.2508333333333333,1268.5912675998004
1,lzw-txt-small-low-2,3.340516852443203,4.0,5724.716796875,17.0965,0.25,1339.3891841897466
2,lzw-txt-small-low-3,3.3806962542429093,6.0,6743.884765625,23.94644,0.2503571428571428,1124.8877725336977
3,lzw-txt-small-low-4,3.312200450163086,4.0,5521.5888671875,17.0965,0.25,1291.864151653847
4,lzw-txt-small-low-5,3.2971521150069543,4.0,5606.4599609375,17.72022,0.27751,1140.0948347334747
5,lzw-txt-small-low-6,3.262745318284749,3.0,4918.1123046875,14.32359,0.2856375,1202.0743688831694
6,lzw-txt-small-low-7,3.309824510217764,4.0,5813.97265625,17.25845,0.257142,1310.081092436336
7,lzw-txt-small-low-8,3.36407215750866,5.0,6526.1689453125,20.56162,0.2516833333333333,1261.0912909516355
8,lzw-txt-small-low-9,3.376165316282702,5.0,6465.6943359375,20.52714,0.2504166666666667,1257.8344784688013
9,lzw-txt-small-low-10,3.320819630324872,4.0,5812.2978515625,17.0965,0.25,1359.8801746702543
10,lzw-txt-small-low-11,3.381256570106713,5.0,6486.0126953125,20.54982,0.25125,1256.214210233535
11,lzw-txt-small-low-12,3.289438157902236,5.0,6276.7451171875,20.52714,0.2504166666666667,1221.0763470640272
12,lzw-txt-small-low-13,3.318540517167337,5.0,6116.001953125,21.30956,0.279175,1028.0556119010405
13,lzw-txt-small-low-14,3.3603555623315726,6.0,6712.7958984375,24.53592,0.2689285714285714,1017.3353861972316
14,lzw-txt-small-low-15,3.3955899132548493,6.0,6983.392578125,24.05978,0.2539285714285714,1143.0447564755952
15,lzw-txt-small-low-16,3.33872911990465,5.0,6400.23828125,20.53893,0.25085,1242.2363204209184
16,lzw-txt-small-low-17,3.335715420448198,5.0,6231.4287109375,20.53871,0.2508416666666667,1209.5248358644023
17,lzw-txt-small-low-18,3.348406032692134,5.0,6348.6083984375,20.52714,0.2504166666666667,1235.0566109298484
18,lzw-txt-small-low-19,3.3457588891721746,4.0,5840.2294921875,17.0965,0.25,1366.4152293598106
19,lzw-txt-small-low-20,3.3415008834670545,5.0,6154.8271484375,20.5158,0.25,1200.0169914773005
20,lzw-txt-small-low-21,3.344028216689168,5.0,6151.251953125,20.99283,0.2675333333333333,1095.2534412462255
21,lzw-txt-small-low-22,3.3641400884053043,6.0,6789.9765625,24.52527,0.2685928571428571,1030.76584356312
22,lzw-txt-small-low-23,3.3375956796891333,5.0,6267.1259765625,20.52714,0.2504166666666667,1219.205041972459
23,lzw-txt-small-low-24,3.317372147135997,5.0,5942.498046875,20.44187,0.2472833333333333,1175.5837637144737
24,lzw-txt-small-low-25,3.304886599016715,4.0,5765.8583984375,17.10784,0.2505,1345.4298611722863
25,lzw-txt-small-low-26,3.331523743235644,4.0,5927.5166015625,17.108069999999998,0.25051,1383.0780644288286
26,lzw-txt-small-low-27,3.251379111946897,4.0,5693.7685546875,17.0965,0.25,1332.1483472494372
27,lzw-txt-small-low-28,3.3781496792921986,6.0,6726.6474609375,23.95778,0.2507142857142857,1119.8839330116648
28,lzw-txt-small-low-29,3.3121346988899503,4.0,5626.2998046875,17.57262,0.271,1181.4546659425737
29,lzw-txt-small-low-30,3.2726645624566766,4.0,5276.5234375,17.685969999999998,0.2759999999999999,1080.9607017125252
30,lzw-txt-small-low-31,3.333255637921471,4.0,5767.634765625,17.07997,0.24927,1354.6922108925326
31,lzw-txt-small-low-32,3.327279701090379,4.0,5954.9951171875,17.0965,0.25,1393.2664854648613
32,lzw-txt-small-low-33,3.35963293282284,5.0,6339.951171875,20.5158,0.25,1236.1109334025484
33,lzw-txt-small-low-34,3.317070091557804,5.0,6165.66015625,20.5158,0.25,1202.1291212138938
34,lzw-txt-small-low-35,3.31864137294883,4.0,5596.8017578125,17.11987,0.25103,1302.308381341301
35,lzw-txt-small-low-36,3.3594081611418587,5.0,6466.1884765625,20.49313,0.2491666666666666,1266.3394073973272
36,lzw-txt-small-low-37,3.3285888437032733,5.0,6207.9951171875,21.75953,0.295715,964.7804660721368
37,lzw-txt-small-low-38,3.3130766747873133,4.0,5878.5126953125,17.74311,0.27852,1189.5462409718275
38,lzw-txt-small-low-39,3.2712241316843245,4.0,5154.57421875,17.20986,0.255,1174.560196545332
